timestamp,id,x,y,simid
1756909269745,0,3000,3000
1756909269845,2,1500,1500,1756909269745
1756909269845,3,2500,1500,1756909269745
1756909269845,4,2000,2366.03,1756909269745
1756909269845,5,1000,2366.03,1756909269745
1756909269845,6,500,1500,1756909269745
1756909269845,7,1000,633.975,1756909269745
1756909269845,8,2000,633.975,1756909269745
1756909269945,2,1500,1500,1756909269745
1756909269945,3,2500,1500,1756909269745
1756909269945,4,2000,2366.03,1756909269745
1756909269945,5,1000,2366.03,1756909269745
1756909269945,6,500,1500,1756909269745
1756909269945,7,1000,633.975,1756909269745
1756909269945,8,2000,633.975,1756909269745
1756909270045,2,1500,1500,1756909269745
1756909270045,3,2500,1500,1756909269745
1756909270045,4,2000,2366.03,1756909269745
1756909270045,5,1000,2366.03,1756909269745
1756909270045,6,500,1500,1756909269745
1756909270045,7,1000,633.975,1756909269745
1756909270045,8,2000,633.975,1756909269745
1756909270145,2,1500,1500,1756909269745
1756909270145,3,2500,1500,1756909269745
1756909270145,4,2000,2366.03,1756909269745
1756909270145,5,1000,2366.03,1756909269745
1756909270145,6,500,1500,1756909269745
1756909270145,7,1000,633.975,1756909269745
1756909270145,8,2000,633.975,1756909269745
1756909270245,2,1500,1500,1756909269745
1756909270245,3,2500,1500,1756909269745
1756909270245,4,2000,2366.03,1756909269745
1756909270245,5,1000,2366.03,1756909269745
1756909270245,6,500,1500,1756909269745
1756909270245,7,1000,633.975,1756909269745
1756909270245,8,2000,633.975,1756909269745
1756909270345,2,1500,1500,1756909269745
1756909270345,3,2500,1500,1756909269745
1756909270345,4,2000,2366.03,1756909269745
1756909270345,5,1000,2366.03,1756909269745
1756909270345,6,500,1500,1756909269745
1756909270345,7,1000,633.975,1756909269745
1756909270345,8,2000,633.975,1756909269745
1756909270445,2,1500,1500,1756909269745
1756909270445,3,2500,1500,1756909269745
1756909270445,4,2000,2366.03,1756909269745
1756909270445,5,1000,2366.03,1756909269745
1756909270445,6,500,1500,1756909269745
1756909270445,7,1000,633.975,1756909269745
1756909270445,8,2000,633.975,1756909269745
1756909270545,2,1500,1500,1756909269745
1756909270545,3,2500,1500,1756909269745
1756909270545,4,2000,2366.03,1756909269745
1756909270545,5,1000,2366.03,1756909269745
1756909270545,6,500,1500,1756909269745
1756909270545,7,1000,633.975,1756909269745
1756909270545,8,2000,633.975,1756909269745
1756909270645,2,1500,1500,1756909269745
1756909270645,3,2500,1500,1756909269745
1756909270645,4,2000,2366.03,1756909269745
1756909270645,5,1000,2366.03,1756909269745
1756909270645,6,500,1500,1756909269745
1756909270645,7,1000,633.975,1756909269745
1756909270645,8,2000,633.975,1756909269745
1756909270745,2,1500,1500,1756909269745
1756909270745,3,2500,1500,1756909269745
1756909270745,4,2000,2366.03,1756909269745
1756909270745,5,1000,2366.03,1756909269745
1756909270745,6,500,1500,1756909269745
1756909270745,7,1000,633.975,1756909269745
1756909270745,8,2000,633.975,1756909269745
1756909270845,2,1500,1500,1756909269745
1756909270845,3,2500,1500,1756909269745
1756909270845,4,2000,2366.03,1756909269745
1756909270845,5,1000,2366.03,1756909269745
1756909270845,6,500,1500,1756909269745
1756909270845,7,1000,633.975,1756909269745
1756909270845,8,2000,633.975,1756909269745
1756909270945,2,1500,1500,1756909269745
1756909270945,3,2500,1500,1756909269745
1756909270945,4,2000,2366.03,1756909269745
1756909270945,5,1000,2366.03,1756909269745
1756909270945,6,500,1500,1756909269745
1756909270945,7,1000,633.975,1756909269745
1756909270945,8,2000,633.975,1756909269745
1756909271045,2,1500,1500,1756909269745
1756909271045,3,2500,1500,1756909269745
1756909271045,4,2000,2366.03,1756909269745
1756909271045,5,1000,2366.03,1756909269745
1756909271045,6,500,1500,1756909269745
1756909271045,7,1000,633.975,1756909269745
1756909271045,8,2000,633.975,1756909269745
1756909271145,2,1500,1500,1756909269745
1756909271145,3,2500,1500,1756909269745
1756909271145,4,2000,2366.03,1756909269745
1756909271145,5,1000,2366.03,1756909269745
1756909271145,6,500,1500,1756909269745
1756909271145,7,1000,633.975,1756909269745
1756909271145,8,2000,633.975,1756909269745
1756909271245,2,1500,1500,1756909269745
1756909271245,3,2500,1500,1756909269745
1756909271245,4,2000,2366.03,1756909269745
1756909271245,5,1000,2366.03,1756909269745
1756909271245,6,500,1500,1756909269745
1756909271245,7,1000,633.975,1756909269745
1756909271245,8,2000,633.975,1756909269745
1756909271345,2,1500,1500,1756909269745
1756909271345,3,2500,1500,1756909269745
1756909271345,4,2000,2366.03,1756909269745
1756909271345,5,1000,2366.03,1756909269745
1756909271345,6,500,1500,1756909269745
1756909271345,7,1000,633.975,1756909269745
