timestamp,id,x,y,type,cell,simid
1756909269855,1,1615.36,958.523,mc,8,1756909269745
1756909269855,2,1077.72,2377.01,mc,5,1756909269745
1756909269855,3,2339.75,1371.81,mc,3,1756909269745
1756909269855,4,695.977,1394.28,mc,6,1756909269745
1756909269855,5,2326.12,1971.05,mc,3,1756909269745
1756909269855,6,1518.42,1647.74,mc,2,1756909269745
1756909269855,7,2002.6,1339.33,mc,3,1756909269745
1756909269855,8,1852.38,2130.82,mc,4,1756909269745
1756909269855,9,560.135,1665.32,mc,6,1756909269745
1756909269855,10,1759.03,1693.57,mc,2,1756909269745
1756909269855,11,1537.63,1094.19,mc,2,1756909269745
1756909269855,12,1734.82,1725.79,mc,2,1756909269745
1756909269855,13,1166.7,738.606,mc,7,1756909269745
1756909269855,14,2019.43,787.955,mc,8,1756909269745
1756909269855,15,1850.14,1150.13,mc,2,1756909269745
1756909269855,16,1410.46,1725.61,mc,2,1756909269745
1756909269855,17,2096.1,2059.63,mc,4,1756909269745
1756909269855,18,2214.23,1644.68,mc,3,1756909269745
1756909269855,19,1420.5,2362.32,mc,5,1756909269745
1756909269855,20,878.603,2207.52,mc,5,1756909269745
1756909269855,21,1442.52,2445.61,mc,5,1756909269745
1756909269855,22,901.183,794.04,mc,7,1756909269745
1756909269855,23,1723.63,1757.69,mc,2,1756909269745
1756909269855,24,1895.11,592.264,mc,8,1756909269745
1756909269855,25,2402.58,1825.99,mc,3,1756909269745
1756909269855,26,1998.07,2248.54,mc,4,1756909269745
1756909269855,27,1427.31,1425.03,mc,2,1756909269745
1756909269855,28,1015.87,2226.31,mc,5,1756909269745
1756909269955,1,1614.99,958.215,mc,8,1756909269745
1756909269955,2,1077.97,2377.06,mc,5,1756909269745
1756909269955,3,2339.68,1372.19,mc,3,1756909269745
1756909269955,4,695.996,1394.06,mc,6,1756909269745
1756909269955,5,2325.98,1971.25,mc,3,1756909269745
1756909269955,6,1518.16,1648.01,mc,2,1756909269745
1756909269955,7,2002.63,1339.05,mc,3,1756909269745
1756909269955,8,1852.48,2130.87,mc,4,1756909269745
1756909269955,9,559.953,1665.29,mc,6,1756909269745
1756909269955,10,1759.27,1693.19,mc,2,1756909269745
1756909269955,11,1537.71,1094.36,mc,2,1756909269745
