Time,NetEnergy,DiffEnergy
0.112875,77.2302,8.63e-07
0.112929,77.429,0.198795
0.112929,77.429,8.63e-07
0.112982,77.6278,0.198795
0.112982,77.6278,4.315e-07
0.113,77.6402,0.012401
0.113,77.6402,1.2945e-06
0.113018,77.7064,0.0662636
0.113018,77.7064,8.63e-07
0.113071,77.9052,0.198795
0.113071,77.9052,8.63e-07
0.113125,78.104,0.198795
0.113125,78.104,8.63e-07
0.113179,78.3028,0.198795
0.113179,78.3028,8.63e-07
0.113232,78.5016,0.198795
0.113232,78.5016,4.315e-07
0.11325,78.514,0.012401
0.11325,78.514,1.2945e-06
0.113268,78.5803,0.0662636
0.113268,78.5803,8.63e-07
0.113321,78.7791,0.198795
0.113321,78.7791,8.63e-07
0.113375,78.9779,0.198795
0.113375,78.9779,8.63e-07
0.113429,79.1767,0.198795
0.113429,79.1767,8.63e-07
0.113482,79.3755,0.198795
0.113482,79.3755,4.315e-07
0.1135,79.3879,0.012401
0.1135,79.3879,1.2945e-06
0.113518,79.4541,0.0662636
0.113518,79.4541,8.63e-07
0.113571,79.6529,0.198795
0.113571,79.6529,8.63e-07
0.113625,79.8517,0.198795
0.113625,79.8517,8.63e-07
0.113679,80.0505,0.198795
0.113679,80.0505,8.63e-07
0.113732,80.2493,0.198795
0.113732,80.2493,4.315e-07
0.11375,80.2617,0.012401
0.11375,80.2617,1.2945e-06
0.113768,80.328,0.0662636
0.113768,80.328,8.63e-07
0.113804,80.4605,0.132527
0.113804,80.4605,8.63e-07
0.113839,80.593,0.132527
0.113839,80.593,8.63e-07
0.113911,80.8581,0.265062
0.113911,80.8581,8.63e-07
0.113982,81.1232,0.265062
0.113982,81.1232,4.315e-07
0.114,81.1356,0.012401
0.114,81.1356,1.2945e-06
0.114018,81.2018,0.0662636
0.114018,81.2018,8.63e-07
0.114125,81.5994,0.397597
0.114232,81.6456,0.0462322
0.11425,81.6581,0.012401
0.11425,81.6581,1.2945e-06
0.114268,81.7243,0.0662636
0.114268,81.7243,8.63e-07
0.114321,81.9231,0.198795
0.114321,81.9231,8.63e-07
0.114375,82.1219,0.198795
0.114375,82.1219,8.63e-07
0.114411,82.2544,0.132527
0.114411,82.2544,8.63e-07
0.114446,82.387,0.132527
0.114482,82.4024,0.015411
0.1145,82.4148,0.012401
0.1145,82.4148,1.2945e-06
0.114518,82.481,0.0662636
0.114518,82.481,8.63e-07
0.114554,82.6136,0.132527
0.114554,82.6136,8.63e-07
0.114589,82.7461,0.132527
0.114589,82.7461,8.63e-07
0.114607,82.8124,0.0662599
0.114732,82.8663,0.0539375
0.11475,82.8787,0.012401
0.11475,82.8787,1.2945e-06
0.114768,82.945,0.0662636
0.114768,82.945,8.63e-07
0.114804,83.0775,0.132527
0.114804,83.0775,8.63e-07
0.114857,83.2763,0.198795
0.114857,83.2763,8.63e-07
0.114911,83.4751,0.198795
0.114911,83.4751,8.63e-07
0.114946,83.6076,0.132527
0.114982,83.623,0.015411
